sentiment_polarity,publish_date,Date,sentiment_subjectivity
0.09839743589743591,{'$date': '2017-03-08T12:10:22.000+0000'},2017-03-08,0.3791666666666667
0.04706295477572073,{'$date': '2017-01-12T07:18:34.000+0000'},2017-01-12,0.4510592244634797
0.1331326081326081,{'$date': '2017-01-11T16:51:48.000+0000'},2017-01-11,0.4579152329152329
0.107346796229775,{'$date': '2017-01-11T00:00:00.000+0000'},2017-01-11,0.4950057566546928
0.06144830659536542,{'$date': '2016-12-21T00:00:00.000+0000'},2016-12-21,0.4342884729649435
0.173546511627907,{'$date': '2016-12-22T00:00:00.000+0000'},2016-12-22,0.5157622739018086
0.2288277511961722,{'$date': '2017-02-23T16:37:54.000+0000'},2017-02-23,0.4820574162679425
0.1160263347763348,{'$date': '2017-01-27T00:00:00.000+0000'},2017-01-27,0.429352877514642
0.1430555555555555,{'$date': '2017-01-26T10:35:00.000+0000'},2017-01-26,0.4262152777777778
0.2376391621846167,{'$date': '2017-01-27T00:00:00.000+0000'},2017-01-27,0.5266403209585028
0.1388420862762968,{'$date': '2016-12-14T04:00:13.000+0000'},2016-12-14,0.4218904268246374
0.06329816017316017,{'$date': '2016-12-13T12:50:34.000+0000'},2016-12-13,0.3737418831168831
0.1705076272933416,{'$date': '2016-12-15T00:00:00.000+0000'},2016-12-15,0.4660791589363018
0.1089506172839506,{'$date': '2017-02-03T00:00:00.000+0000'},2017-02-03,0.4791446208112874
0.09616190866190868,{'$date': '2017-03-09T14:49:19.000+0000'},2017-03-09,0.3878105378105379
0.1401587301587301,{'$date': '2017-02-24T00:00:00.000+0000'},2017-02-24,0.5757142857142857
0.3208333333333333,{'$date': '2017-02-24T15:55:10.000+0000'},2017-02-24,0.5341666666666667
0.0744489146119581,{'$date': '2017-03-08T00:00:00.000+0000'},2017-03-08,0.4259310496267017
-0.001112064036592341,{'$date': '2017-03-11T00:00:00.000+0000'},2017-03-11,0.3449514008004574
0.1352693602693603,{'$date': '2017-03-10T15:21:37.000+0000'},2017-03-10,0.4066077441077441
0.1383763227513227,{'$date': '2017-03-14T13:40:52.000+0000'},2017-03-14,0.4900352733686069
0.133526936026936,{'$date': '2017-03-15T15:28:24.000+0000'},2017-03-15,0.5307687991021324
