publish_date,sentiment_subjectivity,sentiment_polarity,Date
{'$date': '2017-03-28T00:00:00.000+0000'},0.3564814814814815,-0.02569444444444445,2017-03-28
{'$date': '2017-03-27T00:00:00.000+0000'},0.4495320855614973,0.1411096256684492,2017-03-27
{'$date': '2017-03-27T00:00:00.000+0000'},0.4669769711163153,0.1761768149882904,2017-03-27
{'$date': '2017-03-29T00:00:00.000+0000'},0.4530298960298959,0.08097421097421093,2017-03-29
{'$date': '2017-03-26T00:00:00.000+0000'},0.3386363636363637,0.05631313131313131,2017-03-26
{'$date': '2017-03-24T00:00:00.000+0000'},0.3892403471948926,0.1488343937207573,2017-03-24
{'$date': '2017-03-24T00:00:00.000+0000'},0.5417329999060768,0.1299736721611721,2017-03-24
{'$date': '2017-03-24T00:00:00.000+0000'},0.5824440052700922,0.0523056653491436,2017-03-24
{'$date': '2017-03-29T00:00:00.000+0000'},0.4804838864838864,-0.05971620971620971,2017-03-29
{'$date': '2017-03-29T00:00:00.000+0000'},0.3209876543209876,0.08148148148148149,2017-03-29
{'$date': '2017-03-29T00:00:00.000+0000'},0.5234082810613422,-0.00780987719763229,2017-03-29
{'$date': '2017-03-29T00:00:00.000+0000'},0.4545454545454545,0.1363636363636364,2017-03-29
{'$date': '2017-03-29T00:00:00.000+0000'},0.520995670995671,0.03760822510822511,2017-03-29
{'$date': '2017-03-29T00:00:00.000+0000'},0.5429144385026738,0.2116310160427807,2017-03-29
{'$date': '2017-03-27T00:00:00.000+0000'},0.4542655389877613,0.06077775105552884,2017-03-27
{'$date': '2017-03-29T17:00:02.000+0000'},0.2945752164502165,0.1593795093795094,2017-03-29
{'$date': '2017-03-28T00:00:00.000+0000'},0.4117147435897436,0.03791666666666667,2017-03-28
{'$date': '2017-03-29T15:07:03.000+0000'},0.5186274509803921,0.1735294117647059,2017-03-29
{'$date': '2017-03-28T08:42:00.000+0000'},0.4573298522783058,0.1959730218235373,2017-03-28
{'$date': '2017-03-29T14:29:08.000+0000'},0.5292855160712302,0.1656132756132757,2017-03-29
{'$date': '2017-03-28T00:00:00.000+0000'},0.3368686868686869,0.1893939393939394,2017-03-28
{'$date': '2017-03-28T00:00:00.000+0000'},0.365686274509804,0.09313725490196079,2017-03-28
{'$date': '2017-03-29T14:30:00.000+0000'},0,0,2017-03-29
{'$date': '2017-03-29T00:00:00.000+0000'},0.4272384523371365,0.05176076116865592,2017-03-29
{'$date': '2017-03-29T00:00:00.000+0000'},0.3212121212121212,0.05604962670180062,2017-03-29
{'$date': '2017-03-29T20:01:51.000+0000'},0.4949465285672183,0.1546798029556651,2017-03-29
{'$date': '2017-03-29T00:00:00.000+0000'},0.5331842576028623,0.2403100775193799,2017-03-29
{'$date': '2017-03-29T16:41:45.000+0000'},0.5167470224479569,0.08413817620593318,2017-03-29
{'$date': '2017-03-28T00:00:00.000+0000'},0.380064534231201,0.1238338243546577,2017-03-28
{'$date': '2017-03-29T00:00:00.000+0000'},0.5265752765752766,0.2658098845598847,2017-03-29
{'$date': '2017-03-29T10:06:00.000+0000'},0.4738050144300145,0.1268984487734487,2017-03-29
{'$date': '2017-03-29T00:00:00.000+0000'},0.6143362193362193,0.05782467532467531,2017-03-29
{'$date': '2017-03-29T12:45:23.000+0000'},0.4396251993620414,0.0831419457735247,2017-03-29
{'$date': '2017-03-29T00:00:00.000+0000'},0.6067460317460317,0.108015873015873,2017-03-29
{'$date': '2017-03-28T00:00:00.000+0000'},0.4089743589743589,-0.01153846153846154,2017-03-28
{'$date': '2017-03-29T00:00:00.000+0000'},0.5041462866138192,0.1209015010963063,2017-03-29
{'$date': '2017-03-29T00:00:00.000+0000'},0.5225779967159278,0.1041050903119869,2017-03-29
{'$date': '2017-03-29T21:43:44.870+0000'},0.4879873111278069,0.1546167101952226,2017-03-29
{'$date': '2016-10-28T00:00:00.000+0000'},0.5063858238670269,0.1235310950536515,2016-10-28
{'$date': '2016-04-07T00:00:00.000+0000'},0.4356345506345505,0.08116970991970994,2016-04-07
{'$date': '2016-03-23T00:00:00.000+0000'},0.4509658359658359,0.1743290043290043,2016-03-23
{'$date': '2016-06-09T00:00:00.000+0000'},0.3784864323204246,0.06077907819014537,2016-06-09
{'$date': '2016-01-19T10:10:27.000+0000'},0.3962617085643402,0.04587374370269107,2016-01-19
{'$date': '2016-05-04T13:02:20.000+0000'},0.4768121119386942,0.03079894788755549,2016-05-04
{'$date': '2016-10-28T00:00:00.000+0000'},0.5209761904761905,0.04011904761904762,2016-10-28
{'$date': '2016-11-15T00:00:00.000+0000'},0.3849191624701828,0.1354890007951233,2016-11-15
{'$date': '2016-09-19T00:00:00.000+0000'},0.4691145218417946,0.2042266824085006,2016-09-19
{'$date': '2017-01-27T00:00:00.000+0000'},0.5207481060606062,0.1034334415584416,2017-01-27
{'$date': '2017-03-29T06:20:42.000+0000'},0.4276404151404152,0.3249007936507937,2017-03-29
{'$date': '2017-01-20T00:00:00.000+0000'},0.4396220896220896,0.2165906165906167,2017-01-20
{'$date': '2017-02-08T00:00:00.000+0000'},0.4537691144834002,0.1454766628873772,2017-02-08
{'$date': '2017-02-15T20:28:23.000+0000'},0.4304442239858906,0.07884810405643736,2017-02-15
{'$date': '2016-11-22T00:00:00.000+0000'},0.5047040169133191,0.1318886539816773,2016-11-22
{'$date': '2017-01-24T00:00:00.000+0000'},0.4365646258503401,0.1754684601113173,2017-01-24
{'$date': '2016-12-05T00:00:00.000+0000'},0.4986225895316805,-0.08980716253443523,2016-12-05
{'$date': '2016-11-04T00:00:00.000+0000'},0.4047483766233766,0.1291222170686456,2016-11-04
{'$date': '2017-02-21T00:00:00.000+0000'},0.5155050505050507,0.154040404040404,2017-02-21
{'$date': '2017-01-04T00:00:00.000+0000'},0.4437931443556442,0.0782417894605395,2017-01-04
{'$date': '2016-11-15T00:00:00.000+0000'},0.4258410973084885,0.1157608695652175,2016-11-15
{'$date': '2017-02-12T00:00:00.000+0000'},0.575046685340803,0.2416900093370682,2017-02-12
{'$date': '2016-11-15T00:00:00.000+0000'},0.5317736185383245,0.1816399286987523,2016-11-15
{'$date': '2017-01-20T00:00:00.000+0000'},0.3323665223665224,0.1332178932178932,2017-01-20
{'$date': '2016-09-08T00:00:00.000+0000'},0.4420668953687822,0.1613105448011109,2016-09-08
{'$date': '2017-02-01T00:00:00.000+0000'},0.3493261183261184,0.06048773448773449,2017-02-01
{'$date': '2017-01-12T00:00:00.000+0000'},0.4675189393939393,0.07296401515151515,2017-01-12
{'$date': '2016-10-18T16:21:00.000+0000'},0.521645594264642,0.250854348473396,2016-10-18
{'$date': '2016-12-04T00:00:00.000+0000'},0.5237336601307189,0.2157883986928104,2016-12-04
{'$date': '2016-12-10T00:00:00.000+0000'},0.5148565486800781,0.05896464646464646,2016-12-10
{'$date': '2016-10-14T00:00:00.000+0000'},0.5576666666666665,0.1462222222222222,2016-10-14
{'$date': '2017-02-13T00:00:00.000+0000'},0.340267119244392,0.1596910665092483,2017-02-13
{'$date': '2016-12-23T00:00:00.000+0000'},0.4886363636363636,0.1434659090909091,2016-12-23
{'$date': '2016-12-09T12:17:34.000+0000'},0.37486544986545,0.08364045864045865,2016-12-09
{'$date': '2017-01-19T00:00:00.000+0000'},0.4005050505050505,0.2272727272727273,2017-01-19
{'$date': '2017-02-24T00:00:00.000+0000'},0.5435739887352792,0.05898617511520737,2017-02-24
{'$date': '2016-12-20T00:00:00.000+0000'},0.5179606625258798,0.00944616977225673,2016-12-20
{'$date': '2016-11-10T14:00:00.000+0000'},0.5811779358207928,0.09307239057239057,2016-11-10
{'$date': '2017-01-25T00:00:00.000+0000'},0.5267551892551893,-0.1374007936507936,2017-01-25
{'$date': '2016-09-22T00:00:00.000+0000'},0.5181265782828284,0.1387626262626263,2016-09-22
{'$date': '2016-11-15T00:00:00.000+0000'},0.6415538362346871,0.1227675693101225,2016-11-15
{'$date': '2017-02-23T00:00:00.000+0000'},0.3831224661581804,0.0713572802858517,2017-02-23
{'$date': '2016-12-14T00:00:00.000+0000'},0.4641071428571428,0.1025,2016-12-14
{'$date': '2017-01-27T00:00:00.000+0000'},0.3527729677729677,0.08927368927368926,2017-01-27
{'$date': '2016-10-04T00:00:00.000+0000'},0.436883541295306,0.1432088744588744,2016-10-04
{'$date': '2016-12-11T00:00:00.000+0000'},0.4545454545454545,0.1363636363636364,2016-12-11
{'$date': '2017-02-06T00:00:00.000+0000'},0.4034456534456535,0.07936524186524188,2017-02-06
{'$date': '2016-12-07T00:00:00.000+0000'},0.52015455304929,-0.03998443077390445,2016-12-07
{'$date': '2017-02-16T00:00:00.000+0000'},0.2529761904761905,-0.03771645021645022,2017-02-16
{'$date': '2017-01-19T00:00:00.000+0000'},0.6533950617283951,0.1975308641975308,2017-01-19
{'$date': '2017-01-27T00:00:00.000+0000'},0.2991345539706196,0.08294913419913423,2017-01-27
{'$date': '2016-11-15T14:53:11.000+0000'},0.6086807181889148,-0.1039528777233695,2016-11-15
{'$date': '2016-11-30T00:00:00.000+0000'},0.4087121212121212,0.1446969696969697,2016-11-30
{'$date': '2016-09-26T19:43:15.000+0000'},0.4368874417880097,0.1309069387052341,2016-09-26
{'$date': '2016-09-21T04:01:00.000+0000'},0.5346136691591237,0.1464728453364817,2016-09-21
{'$date': '2016-11-07T00:00:00.000+0000'},0.4317221855357447,0.141628145865434,2016-11-07
{'$date': '2016-10-31T00:00:00.000+0000'},0.5692051820728291,0.04840686274509804,2016-10-31
{'$date': '2017-01-15T00:00:00.000+0000'},0.4795968156137647,0.1565081810844523,2017-01-15
{'$date': '2016-12-29T00:00:00.000+0000'},0.4602214452214453,0.06087412587412588,2016-12-29
{'$date': '2016-11-03T00:00:00.000+0000'},0.4902228134519804,0.1241523619127786,2016-11-03
{'$date': '2016-12-04T00:00:00.000+0000'},0.5005644719265412,0.03377226285846974,2016-12-04
{'$date': '2017-01-14T00:00:00.000+0000'},0.4864060963618486,0.1610755149471964,2017-01-14
{'$date': '2017-02-13T00:00:00.000+0000'},0.4258885147774036,0.1224961252739031,2017-02-13
{'$date': '2017-02-12T00:00:00.000+0000'},0.392463768115942,0.1112034161490683,2017-02-12
{'$date': '2016-11-18T00:00:00.000+0000'},0.4218483536665356,0.2248048668503214,2016-11-18
{'$date': '2016-12-25T00:00:00.000+0000'},0.5214958218864469,0.09407552083333333,2016-12-25
{'$date': '2017-02-24T00:00:00.000+0000'},0.4074397824397825,0.04082167832167833,2017-02-24
{'$date': '2017-02-22T00:00:00.000+0000'},0.4339031339031339,0.03703703703703705,2017-02-22
{'$date': '2017-01-22T00:00:00.000+0000'},0.4795531135531136,0.2018817065287654,2017-01-22
{'$date': '2017-03-18T00:00:00.000+0000'},0.4555701019410697,0.1376195712889262,2017-03-18
{'$date': '2017-03-17T00:00:00.000+0000'},0.3859655728886497,0.08867132867132868,2017-03-17
{'$date': '2017-03-09T00:00:00.000+0000'},0.4382365319865319,0.1569760101010101,2017-03-09
{'$date': '2017-03-15T00:00:00.000+0000'},0.4233532233532235,0.1441777816777817,2017-03-15
