publish_date,sentiment_subjectivity,sentiment_polarity,Date,Open,High,Low,Close,Volume
{'$date': '2017-01-04T14:22:33.000+0000'},0.4468203309692669,0.1535342789598109,2017-01-04,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2017-01-04T15:07:27.000+0000'},0.4828643578643579,0.1442268668831169,2017-01-04,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2017-01-04T16:18:01.000+0000'},0.4575850340136055,0.08341553287981862,2017-01-04,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2017-01-04T16:28:25.000+0000'},0.4841611667021504,0.1026312303361483,2017-01-04,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2017-01-04T07:09:44.000+0000'},0.4427434219426409,0.1162033279220779,2017-01-04,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2017-01-04T01:00:00.000+0000'},0.4520833333333334,0.1520833333333333,2017-01-04,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2017-01-04T11:22:00.000+0000'},0.5063749508067689,0.2615055588351044,2017-01-04,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2017-01-04T00:00:00.000+0000'},0.2,0.1388888888888889,2017-01-04,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2017-01-04T00:00:00.000+0000'},0.3816578483245149,0.1600970017636685,2017-01-04,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2017-01-04T23:40:09.000+0000'},0.347348484848485,-0.02359307359307359,2017-01-04,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2016-10-26T00:00:00.000+0000'},0.4151422230967687,0.1321535156762429,2016-10-26,806.34,806.98,796.32,799.07,1647733.0
{'$date': '2016-10-28T00:00:00.000+0000'},0.5209761904761905,0.04011904761904762,2016-10-28,808.35,815.49,793.59,795.37,4269902.0
{'$date': '2016-10-28T00:00:00.000+0000'},0.5063858238670269,0.1235310950536515,2016-10-28,808.35,815.49,793.59,795.37,4269902.0
{'$date': '2016-10-28T00:00:00.000+0000'},0.5209761904761905,0.04011904761904762,2016-10-28,808.35,815.49,793.59,795.37,4269902.0
{'$date': '2016-10-28T00:00:00.000+0000'},0.5063858238670269,0.1235310950536515,2016-10-28,808.35,815.49,793.59,795.37,4269902.0
{'$date': '2016-11-15T00:00:00.000+0000'},0.3849191624701828,0.1354890007951233,2016-11-15,746.97,764.42,746.97,758.49,2384001.0
{'$date': '2016-11-15T00:00:00.000+0000'},0.4258410973084885,0.1157608695652175,2016-11-15,746.97,764.42,746.97,758.49,2384001.0
{'$date': '2016-11-15T00:00:00.000+0000'},0.5317736185383245,0.1816399286987523,2016-11-15,746.97,764.42,746.97,758.49,2384001.0
{'$date': '2016-11-15T00:00:00.000+0000'},0.6415538362346871,0.1227675693101225,2016-11-15,746.97,764.42,746.97,758.49,2384001.0
{'$date': '2016-11-15T14:53:11.000+0000'},0.6086807181889148,-0.1039528777233695,2016-11-15,746.97,764.42,746.97,758.49,2384001.0
{'$date': '2016-11-15T00:00:00.000+0000'},0.3849191624701828,0.1354890007951233,2016-11-15,746.97,764.42,746.97,758.49,2384001.0
{'$date': '2016-11-15T00:00:00.000+0000'},0.4258410973084885,0.1157608695652175,2016-11-15,746.97,764.42,746.97,758.49,2384001.0
{'$date': '2016-11-15T00:00:00.000+0000'},0.5317736185383245,0.1816399286987523,2016-11-15,746.97,764.42,746.97,758.49,2384001.0
{'$date': '2016-11-15T00:00:00.000+0000'},0.6415538362346871,0.1227675693101225,2016-11-15,746.97,764.42,746.97,758.49,2384001.0
{'$date': '2016-11-15T14:53:11.000+0000'},0.6086807181889148,-0.1039528777233695,2016-11-15,746.97,764.42,746.97,758.49,2384001.0
{'$date': '2017-01-27T00:00:00.000+0000'},0.5207481060606062,0.1034334415584416,2017-01-27,834.71,841.95,820.44,823.31,2965771.0
{'$date': '2017-01-27T00:00:00.000+0000'},0.3527729677729677,0.08927368927368927,2017-01-27,834.71,841.95,820.44,823.31,2965771.0
{'$date': '2017-01-27T00:00:00.000+0000'},0.2991345539706196,0.08294913419913423,2017-01-27,834.71,841.95,820.44,823.31,2965771.0
{'$date': '2017-01-27T00:00:00.000+0000'},0.5207481060606062,0.1034334415584416,2017-01-27,834.71,841.95,820.44,823.31,2965771.0
{'$date': '2017-01-27T00:00:00.000+0000'},0.3527729677729677,0.08927368927368927,2017-01-27,834.71,841.95,820.44,823.31,2965771.0
